country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40200000,98800000,131000000,353000000,355000000,373000000,388000000,376000000,335000000,300000000,277000000,285000000
Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13300000,29700000,54200000,64500000,54200000,55000000,64400000,144000000,148000000,142000000,144000000,159000000,169000000,158000000,162000000,163000000,152000000,144000000,129000000,117000000,107000000,96800000,151000000,244000000,387000000,489000000
Algeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,619000000,670000000,995000000,795000000,471000000,1160000000,1480000000,2030000000,2020000000,2010000000,2080000000,1890000000,1680000000,1510000000,1180000000,843000000,184000000,194000000,203000000,198000000,1880000000,1850000000,1840000000,1840000000,1850000000,1740000000,1660000000,1610000000,1710000000
Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375000000,356000000,343000000,371000000,406000000,424000000,390000000,411000000,431000000,421000000,787000000,1300000000,1610000000,1740000000,1480000000,914000000,532000000,396000000,389000000
Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24600000,70200000,116000000,132000000,190000000,322000000,290000000,283000000,314000000,345000000,354000000,302000000,296000000,297000000,270000000,725000000,876000000,963000000,911000000,720000000,570000000,536000000,528000000,530000000
Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101000000,175000000,267000000,321000000,618000000,536000000,488000000,488000000,487000000,447000000,383000000,365000000,346000000,316000000,303000000,282000000,265000000,252000000,242000000,224000000,213000000,206000000,219000000
Bangladesh,0,0,67900000,75400000,165000000,202000000,275000000,254000000,299000000,345000000,424000000,464000000,547000000,565000000,462000000,520000000,539000000,841000000,840000000,719000000,626000000,727000000,732000000,682000000,669000000,622000000,516000000,372000000,422000000,382000000,277000000,208000000,135000000,144000000,304000000,376000000,547000000,575000000,758000000,1470000000,1400000000,1270000000,1210000000,1500000000,1470000000,1610000000,1550000000,1630000000
Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96300000,102000000,283000000,273000000,257000000,243000000,684000000,594000000,544000000,557000000,574000000,582000000,527000000,555000000,583000000,568000000,3450000000,4060000000,4050000000,3590000000,1930000000,613000000,511000000,496000000,525000000
Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,3770000,4710000,10500000,11700000,11400000,7790000,3310000,421000,0,0,0,0,0,0,0,0,24600000,23300000,22500000,24300000,26600000,27800000,25600000,26900000,28300000,27600000,35400000,34800000,34700000,32000000,28500000,25900000,24800000,24100000,25500000
Benin,0,0,0,0,0,0,0,0,7020000,7100000,16100000,14800000,14000000,13100000,11200000,11300000,9530000,7460000,3980000,10200000,17900000,22400000,21500000,43000000,71200000,84100000,99100000,94900000,93500000,105000000,96200000,88600000,86000000,87100000,79900000,66200000,16800000,19000000,36900000,132000000,146000000,177000000,210000000,225000000,220000000,202000000,187000000,226000000
